,source,target
0,76M2Ekj8bG8W7X2nbx2CpF,7sfl4Xt5KmfyDs2T3SVSMK
1,0hk4xVujcyOr6USD95wcWb,7Do8se3ZoaVqUt3woqqSrD
2,38jpuy3yt3QIxQ8Fn1HTeJ,4csQIMQm6vI2A2SCVDuM2z
3,6PvcxssrQ0QaJVaBWHD07l,6UCQYrcJ6wab6gnQ89OJFh
4,2R1QrQqWuw3IjoP5dXRFjt,4mk1ScvOUkuQzzCZpT6bc0
5,0k70gnDBLPirCltbTzoxuM,5FK3qokBQYxr7ZLkr8GVFn
6,1bAftSH8umNcGZ0uyV7LMg,1vqR17Iv8VFdzure1TAXEq
7,21ey6s5hEcTcVKDrF5MWby,7uMh23xWiuR7zsNkuNcm2G
8,1mYsTxnqsietFxj1OgoGbG,7snhzmuew8iLEDxMIhOU1P
9,2I9SLklAOG0vdMiUUMNxRl,4IprNlQiJZUUJhDl0fL2SL
10,1iIdweeZKCIYQ5xepyaIYz,2UkgjMChHf3vFEwOzLE5o9
11,4Cmzjffz7uLaESQIWIs9G5,6XvZkxVvGXWhlDFTR6Q4sj
12,2aaGbpl5Y2ykZsNFZM6ofw,5Jv214x15UoVfHMo4LIpLU
13,0OZ5IlVdYIK1Et3nW6aTO5,6eUofOqC7jS5aPeTa1a71y
14,0zkoIIaqJT7WP0rly4rOMk,2hPCF7VDHhihvNdobslOHw
15,0IpLJsvZHA1op1pw8GAoPu,2QjS2N6sORI7H4qbf6xitS
16,2oX42qP5ineK3hrhBECLmj,6aZyMrc4doVtZyKNilOmwu
17,5sSzCxHtgL82pYDvx2QyEU,6FXVn5ib6pVL8VZ9Z1L20x
18,1kW6jqgrymK0l58M3OqVMz,3wpNKcE7grYUIRKCMpmBOb
19,4I7D65YMlr6ZxVEGPb7q2K,5JqvosTRPE7gN9xSXUoT1S
20,2cPqdH7XMvwaBJEVjheH8g,329e4yvIujISKGKz1BZZbO
21,0t6A5IoqSxQzxmMoDkS9Cv,2Z9KL8Zmqx5Sg3cd7Fldhl
22,3tZdknQnzsVIIdaGCTj4RX,5ypEYwWaSgtjBPCPcredFM
23,0hprEC0nsWuQPSHag1O2Vi,7f5Zgnp2spUuuzKplmRkt7
24,0WZOmdnCln6FK6GM9e2tGm,4DeiqSO9kyWDr1KuQTYMVg
25,1B0Rp4SWGnFgGCPU5Pju6E,2QjS2N6sORI7H4qbf6xitS
26,4Y7tXHSEejGu1vQ9bwDdXW,5ncNJNBW6jRC3xnY7ZSzLj
27,3tzacGOmngxUV8W8lU9h3Q,5mYHBgipaljnhpGeFj2FP9
28,0okpgBQamDqOZazBeH0J3I,2X0ndI9nIkbMvJE9YlLQr4
29,4IKVDbCSBTxBeAsMKjAuTs,7jgOOSGT9VG1PSH90uFx43
30,00sAT5YX8W3xNd1EuqyHw9,73jBynjsVtofjRpdpRAJGk
31,1IsvL603uF5ieIXYApKcnr,1mYsTxnqsietFxj1OgoGbG
32,2sfSQ1BOzaFQa3LZj6OGwD,5ttgIeUVka6FLyi00Uu5h8
33,2hKfWlZLozDVOkReXCYJXq,6mKwmTMzDrye9elc8JWiw3
34,2M9nsWRUhhvYvfZmOYgTwZ,6aaMlV5Qz8DK66IWgwoUH8
35,0b2GL7Y02vu50qieoQmw1w,7iJrDbKM5fEkGdm5kpjFzS
36,3bvfu2KAve4lPHrhEFDZna,4m6ubhNsdwF4psNf3R8kwR
37,4DdkRBBYG6Yk9Ka8tdJ9BW,5yPzzu25VzEk8qrGTLIrE1
38,3mXI2gpwWnNO9qbQG3n3EP,7gZRUp2WL6r11PXTv309P1
39,0l59CBSPDfKBXlyHya0pew,5nki7yRhxgM509M5ADlN1p
40,0OmIOUU8SceGFVrqrEm70j,0PrhwIWbqYFYyY2ZrkIWgI
41,0o3IFcCxiWfIb3kfnHkhPN,7oxIi3tF8bOBxAcSixbojj
42,4yYYCSCDUTypErQMZv5iSg,6aaMZ3fcfLv4tEbmY7bjRM
43,2QQcLziAzX1VdysI6Mvsl0,56hM6Y3Cw2g8xZOfZrHBuS
44,0koPE9U3b5XYArKa7R2TLm,4IvEtOiujya1B5LAoc8xZC
45,2CmaKO2zEGJ1NWpS1yfVGz,4sTQVOfp9vEMCemLw50sbu
46,1yNOfXGQNGjAynk77wv85x,44NX2ffIYHr6D4n7RaZF7A
47,0VRj0yCOv2FXJNP47XQnx5,64M6ah0SkkRsnPGtGiRAbb
48,25wMXkplvEHJpJHX8A6Ved,3ytV7vc4ZuwGgwaOuWvkk8
49,1boMFBiRXiba4RCcPs5DMm,5cPFz5IHZH7LE8h2DOuhDA
50,00TKPo9MxwZ0j4ooveIxWZ,5WdqBAQhGFCrZvBKXiPIu7
51,0KA4BF3xL0wSVEY5ovpEru,68KUcl8ndJO5nUcLkuwIjI
52,2A3rmRL2kja5NoroAGdZPb,4ObrwA9eUtMH2eQJczCBrX
53,2oCQSda6vA1t27B5RWXYwb,4mMj2Yr5c5zJXhqyGaSOLy
54,3meJIgRw7YleJrmbpbJK6S,6lvaiTMh5DBQ4MJqq4vl9X
55,5sSzCxHtgL82pYDvx2QyEU,7qjJw7ZM2ekDSahLXPjIlN
56,4WJ7gbdxGaECzko0WIUaV8,4axKuDPr6WKcDCyh8vueTY
57,1ZwuShKjJItDJez0aDCsxN,28uJnu5EsrGml2tBd7y8ts
58,1bAftSH8umNcGZ0uyV7LMg,4QFG9KrGWEbr6hNA58CAqE
59,5ISjkNS17JpCwiFtW80lpV,6NOvBZrkd83MSD51xkq4on
60,0oOet2f43PA68X5RxKobEy,2FgHPfRprDaylrSRVf1UlN
61,4hV3aU0WKvFaiX5ugXP5hp,64ZV1p2uqJZi2StfpemVFD
62,1Irjtuam0m1mMHcvk5G5sD,2ic3GGGmkixOZP4qnakSA8
63,4NYQDJaodzdKo2HlZPirZe,5U2ISoieRzT6TaqiXumcXl
64,0ZOwmYD7AAgJd3b6jcyik8,5T9Q17uI3gmKMJiNs4CMQR
65,4TKTii6gnOnUXQHyuo9JaD,5VX8hxrcfJWwaTLiqGUHG3
66,2FgHPfRprDaylrSRVf1UlN,2pVurQy6iuWWx707gilSdX
67,2feslzBLWgoLAT5PfH2V9q,4nXezpatStChCEWVvYLjd5
68,3nqQeOUvDPTu4vtYtPfBjX,6olWbKW2VLhFCHfOi0iEDb
69,3ef2an5giEP6Hc60lKEVEy,3us9fVKGxelK4OfEMng997
70,6lPJV4RlngIEnb6OzcwMDL,7blTwZGiTplsvBEvYOsDot
71,5pUo3fmmHT8bhCyHE52hA6,6rXMet89uui55tWrcEz7ma
72,0iBZjEZBg8GsjaBq3lTAvC,6E4isOyUjuu3DeCsEYKwSi
73,0SmrKFDmVGR8JXzU926kua,2oM7LqPaoCUcHHHnsTtgn1
