Id,name,followers,popularity,genres,chart_hits,top_chart
48WvrUGoijadXXCsGocwM4,Byklubben,1738.0,24,"['nordic house', 'russelater']",['no (3)'],no
4lDiJcOJ2GLCK6p9q5BgfK,Kontra K,1999676.0,72,"['christlicher rap', 'german hip hop']","['at (44)', 'de (111)', 'lu (22)', 'ch (31)', 'vn (1)']",de
652XIvIBNGg3C0KIGEJWit,Maxim,34596.0,36,[],['de (1)'],de
3dXC1YPbnQPsfHPVkm1ipj,Christopher Martin,249233.0,52,"['dancehall', 'lovers rock', 'modern reggae', 'reggae fusion']","['at (1)', 'de (1)']",at
74terC9ol9zMo8rfzhSOiG,Jakob Hellman,21193.0,39,"['classic swedish pop', 'norrbotten indie', 'swedish pop']",['se (6)'],se
0FQMb3mVrAKlyU4H5mQOJh,Madh,26677.0,19,[],['it (2)'],it
71BhXa24Zf5zcikUb00l2N,Juice,11312.0,37,"['swedish drill', 'swedish hip hop', 'swedish trap', 'swedish trap pop']",['se (4)'],se
3TG1RXLaEhHz5SIPMWahit,Nehuda,36252.0,31,['francoton'],['fr (1)'],fr
7MFvm8pwjLdmVBZddGNiQH,VovaZiLvova,14619.0,43,"['ukrainian hip hop', 'ukrainian pop', 'ukrainian rock']",['ua (1)'],ua
5I82NM6jN4Y267iHwVeNR9,Nata Record,188.0,12,[],['do (1)'],do
5OkJ74jazRprW3kCTjfgOL,Yomi,7246.0,30,['norwegian pop rap'],['no (2)'],no
6swIRY9NcGlW0PwO5KlqKV,Kauniit & Uhkarohkeat,798.0,9,['suomi rock'],['fi (2)'],fi
5qBZETtyzfYnXOobDXbmcD,Danny Elfman,327256.0,63,"['orchestral soundtrack', 'soundtrack']","['pl (2)', 'pt (2)', 'tw (1)']",pl
0AjnB78SikKKhqYoqFIOXn,Attractions,11174.0,21,['japanese dance pop'],['jp (1)'],jp
5RYLofQHxZcrEl9Bl23MCS,MaRina,6408.0,29,[],['pl (1)'],pl
3xs0LEzcPXtgNfMNcHzLIP,Rockwell,40344.0,58,[],"['us (1)', 'gb (1)', 'at (1)', 'be (1)', 'ca (1)', 'ee (1)', 'de (1)', 'is (1)', 'ie (1)', 'lv (1)', 'lt (1)', 'sk (1)']",us
4kYtSSCtizbVfZkgAj4Xbe,Cosmos Insania,17.0,0,[],['hn (3)'],hn
2tGETO39QXKpmeQMSzr5I6,Pálmi Gunnarsson,3207.0,27,"['classic icelandic pop', 'icelandic pop', 'icelandic rock']",['is (4)'],is
5mjhFqCEMhIwO4ZOYlycHH,GeeSixFive,517.0,0,[],['za (1)'],za
6cd9X2t4HN8zjoxOblaDTz,Suur Papa,6752.0,29,"['estonian hip hop', 'estonian pop']",['ee (3)'],ee
2NUz5P42WqkxilbI8ocN76,Vybz Kartel,1026598.0,63,"['dancehall', 'jamaican dancehall', 'reggae fusion']","['cr (3)', 'pa (1)']",cr
3PGwQavDRylE3cEDRRISYV,CAMO,394.0,10,[],['dk (2)'],dk
4Lm0pUvmisUHMdoky5ch2I,Apocalyptica,864846.0,60,"['alternative metal', 'bow pop', 'cello', 'finnish metal', 'nu metal']",['fi (2)'],fi
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,36163788.0,88,"['dance pop', 'pop', 'uk pop']","['us (17)', 'gb (25)', 'ar (18)', 'au (20)', 'at (14)', 'be (23)', 'bo (10)', 'br (18)', 'bg (24)', 'ca (19)', 'cl (16)', 'co (18)', 'cr (18)', 'cy (21)', 'cz (17)', 'dk (17)', 'do (9)', 'ec (9)', 'eg (13)', 'sv (19)', 'ee (24)', 'fi (22)', 'fr (12)', 'de (14)', 'gr (22)', 'gt (12)', 'hn (18)', 'hk (19)', 'hu (24)', 'is (12)', 'in (6)', 'id (13)', 'ie (24)', 'il (12)', 'it (11)', 'jp (9)', 'lv (18)', 'lt (24)', 'lu (20)', 'my (16)', 'mt (20)', 'mx (18)', 'ma (6)', 'nl (20)', 'nz (19)', 'ni (18)', 'no (16)', 'pa (15)', 'py (9)', 'pe (16)', 'ph (18)', 'pl (23)', 'pt (21)', 'ro (18)', 'ru (6)', 'sa (10)', 'sg (21)', 'sk (23)', 'za (5)', 'kr (6)', 'es (18)', 'se (14)', 'ch (14)', 'tw (18)', 'th (11)', 'tr (12)', 'ua (6)', 'ae (15)', 'uy (15)', 'vn (19)']",gb
3W78vKR2pmGmYbtNDnN9kl,Akky,35.0,1,[],"['ca (1)', 'in (1)']",ca
0SIXZXJCAhNU8sxK0qm7hn,Stefanie Sun,561300.0,57,"['c-pop', 'mandopop', 'singaporean mandopop', 'singaporean pop', 'singaporean singer-songwriter']","['hk (2)', 'sg (3)', 'tw (36)']",tw
7jXoGtR69J2iYCefc58MZX,Twins,92440.0,45,"['c-pop', 'cantopop']",['hk (3)'],hk
2sjnyyL9NXijL3Fr2eLikf,Aspova,339292.0,57,"['turkish hip hop', 'turkish trap pop']",['tr (12)'],tr
2bPh6UXbS7wZ7tyN35kFEG,Artistic Raw,7088.0,40,['dutch house'],['nl (1)'],nl
7yaaxrkMOWJZXpIYHkppDH,Angela Ken,30050.0,45,['pinoy singer-songwriter'],['ph (1)'],ph
63vwPO1QheUOil1fkQsv0u,Labanoon,498739.0,44,"['thai folk rock', 'thai rock']",['th (2)'],th
4JNo6Q5KdcRf1vtSX9mB0S,João Gomes,4122782.0,74,['arrocha'],"['br (16)', 'py (1)', 'pt (1)']",br
7pnSkMU0hGGIay6tPvbsCo,Khea,296.0,0,[],"['ar (1)', 'bo (1)', 'cl (1)', 'py (1)', 'uy (1)']",ar
68fwnXPTQaiMV7rKvSkTYQ,Daniela Reyes,2348.0,25,"['norwegian contemporary jazz', 'norwegian indie']",['no (1)'],no
5Matrg5du62bXwer29cU5T,Benny The Butcher,266547.0,64,"['boom bap', 'buffalo hip hop', 'hip hop', 'rap', 'upstate ny rap']","['us (1)', 'ca (1)', 'za (1)']",us
0qZ24TkLCHoE3ajCzGItJ1,Sharmoofers,453284.0,37,"['arab alternative', 'egyptian alternative', 'egyptian pop']",['eg (8)'],eg
4e0nWw2r4BoQSKPQ2zpU13,Ray Dalton,39139.0,71,['uk pop'],"['at (1)', 'be (1)', 'fr (1)', 'de (1)', 'lu (1)', 'pl (1)', 'sk (1)', 'ch (1)']",at
1EUmQM6xgUQLUkJVcvSdey,Orange & Lemons,774079.0,56,"['opm', 'pinoy indie', 'pinoy rock']",['ph (2)'],ph
0H1pP8C4zaVSilRjiRa2Wy,D1NO,19269.0,48,['german hip hop'],['de (1)'],de
2HmmA3GhP0xsbRUiDllJUn,Pep & Rash,77599.0,39,"['dutch edm', 'electro house', 'future house', 'house']","['gb (1)', 'ar (1)', 'ie (1)', 'mx (1)', 'nl (2)', 'tw (1)']",nl
2xIWjLEjEkPdclYsGGMTpK,B10,80926.0,45,['drill espanol'],['es (1)'],es
4RA4PC3WHM9OHZLExirTcU,APO Hiking Society,619169.0,56,"['classic opm', 'opm']",['ph (2)'],ph
2AZOALDIBORfbzKTuliwdJ,Cristian Castro,2620684.0,69,"['latin arena pop', 'latin pop']","['ar (1)', 'mx (1)']",ar
7IpcJM0UZeU4b2SV9YRCqx,Alika,28254.0,0,[],['id (1)'],id
